"Category";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"Dordrecht";525;440.1;85;71.2;57;47.8
"Drechterland";44;223.2;4;20.3;8;40.6
"Drimmelen";67;245.7;18;66;8;29.3
"Dronten";122;293.5;30;72.2;12;28.9
"Druten";114;602.6;25;132.1;8;42.3
"Duiven";50;199;14;55.7;6;23.9
"Echt-Susteren";93;294.1;39;123.3;16;50.6
"Edam-Volendam";125;345.3;24;66.3;3;8.3
"Ede";215;183.5;54;46.1;20;17.1
"Eemnes";17;183.8;2;21.6;1;10.8
"Eersel";68;352.1;26;134.6;10;51.8
"Eijsden-Margraten";170;660.1;54;209.7;27;104.8
"Eindhoven";524;223.5;179;76.3;84;35.8
"Elburg";149;643.3;28;120.9;8;34.5
"Emmen";104;97.1;20;18.7;11;10.3
"Enkhuizen";29;156;18;96.8;4;21.5
"Enschede";231;144.6;53;33.2;25;15.7
"Epe";137;412.8;47;141.6;23;69.3
"Ermelo";142;525.8;33;122.2;22;81.5
"Etten-Leur";197;449;40;91.2;30;68.4
"Geertruidenberg";43;199.6;11;51.1;6;27.9
"Geldrop-Mierlo";110;276.8;33;83.1;16;40.3
"Gemert-Bakel";195;634.7;79;257.1;31;100.9
"Gennep";58;342.7;16;94.5;10;59.1
"Gilze en Rijen";78;295;20;75.6;15;56.7
"Goeree-Overflakkee";262;523.5;53;105.9;34;67.9
"Goes";71;186.4;11;28.9;11;28.9
"Goirle";77;322.1;32;133.9;17;71.1
"Gooise Meren";110;189.5;23;39.6;9;15.5
"Gorinchem";150;405.3;18;48.6;15;40.5
"Gouda";254;345.8;40;54.5;41;55.8
"Grave";72;578.9;21;168.9;11;88.4
"Groningen";170;73;18;7.7;3;1.3
"Gulpen-Wittem";78;550.2;21;148.1;14;98.8
"Haaksbergen";55;226.3;14;57.6;7;28.8
"Haaren";54;375.8;18;125.3;8;55.7
"Haarlem";284;174.3;61;37.4;57;35
"Haarlemmermeer";276;176.9;68;43.6;27;17.3
"Halderberge";58;191.6;14;46.2;7;23.1
"Hardenberg";170;279;23;37.7;8;13.1
"Harderwijk";175;361.4;43;88.8;20;41.3
"Hardinxveld-Giessendam";33;180.4;2;10.9;2;10.9
"Harlingen";17;108.1;4;25.4;1;6.4
"Hattem";41;335.7;16;131;5;40.9
"Heemskerk";88;224.6;28;71.5;10;25.5
"Heemstede";89;326.7;11;40.4;32;117.5
"Heerde";191;1027.6;54;290.5;28;150.6
"Heerenveen";93;184.2;13;25.7;20;39.6
"Heerhugowaard";146;253.5;27;46.9;9;15.6
"Heerlen";382;438.8;125;143.6;54;62
"Heeze-Leende";68;421.1;15;92.9;8;49.5
"Heiloo";48;200.2;9;37.5;8;33.4
"Hellendoorn";95;264.5;8;22.3;12;33.4
"Hellevoetsluis";71;176.8;16;39.8;3;7.5
"Helmond";403;436;114;123.3;41;44.4
"Hendrik-Ido-Ambacht";69;221.1;11;35.3;6;19.2
"Hengelo";124;152.8;21;25.9;19;23.4
"Het Hogeland";30;62.7;7;14.6;3;6.3
"Heumen";73;443.8;17;103.3;9;54.7
"Heusden";141;315.4;44;98.4;22;49.2
"Hillegom";33;148.6;8;36;2;9
"Hilvarenbeek";48;309.4;9;58;6;38.7
"Hilversum";195;214.6;31;34.1;25;27.5
"Hoeksche Waard";308;352.2;76;86.9;20;22.9
"Hof van Twente";63;179.9;15;42.8;4;11.4
"Hollands Kroon";62;128;26;53.7;6;12.4
"Hoogeveen";93;167;19;34.1;8;14.4
"Hoorn";92;125.6;35;47.8;12;16.4
"Horst aan de Maas";125;294.6;41;96.6;24;56.6
"Houten";139;277.2;24;47.9;14;27.9
"Huizen";130;315;22;53.3;10;24.2
"Hulst";31;112.5;9;32.7;5;18.1
"IJsselstein";156;457.3;35;102.6;34;99.7
"Kaag en Braassem";28;102.6;6;22;2;7.3
"Kampen";341;627.5;59;108.6;26;47.8
"Kapelle";24;189.1;3;23.6;1;7.9
"Katwijk";250;380.2;31;47.1;15;22.8
"Kerkrade";207;452.5;64;139.9;35;76.5
"Koggenland";36;158.2;6;26.4;6;26.4
"Krimpen aan den IJssel";80;270.9;10;33.9;8;27.1
"Krimpenerwaard";185;328.5;45;79.9;31;55
"Laarbeek";124;550.4;41;182;26;115.4
"Landerd";146;928.2;39;247.9;21;133.5
"Landgraaf";143;381.8;52;138.8;13;34.7
"Landsmeer";23;200.1;3;26.1;3;26.1
"Langedijk";45;159.8;16;56.8;4;14.2
"Lansingerland";186;298.1;42;67.3;25;40.1
"Laren";26;230.6;8;71;2;17.7
"Leeuwarden";63;50.8;33;26.6;6;4.8
"Leiden";165;131.8;39;31.2;18;14.4
"Leiderdorp";36;133;13;48;6;22.2
"Leidschendam-Voorburg";122;159.4;20;26.1;15;19.6
"Lelystad";185;235.3;64;81.4;29;36.9
"Leudal";188;523.7;51;142.1;32;89.1
"Leusden";53;174.3;9;29.6;5;16.4
"Lingewaard";130;278.9;31;66.5;10;21.5
"Lisse";26;113.3;7;30.5;2;8.7
"Lochem";95;281.6;14;41.5;14;41.5
"Loon op Zand";59;252.1;24;102.5;7;29.9
"Lopik";64;442.3;19;131.3;8;55.3
"Loppersum";2;21;0;0;0;0
"Losser";25;110.2;7;30.9;0;0
"Maasdriel";52;207.7;15;59.9;7;28
"Maasgouw";105;438.2;27;112.7;14;58.4
"Maassluis";63;189.7;20;60.2;4;12
"Maastricht";908;747;186;153;139;114.3
"Medemblik";72;159.6;18;39.9;6;13.3
"Meerssen";113;600;22;116.8;13;69
"Meierijstad";550;677.4;211;259.9;131;161.3
"Meppel";44;129.8;8;23.6;4;11.8
"Middelburg";59;120.9;18;36.9;10;20.5
"Midden-Delfland";20;103.4;4;20.7;0;0
"Midden-Drenthe";22;66.3;6;18.1;0;0
"Midden-Groningen";32;52.6;6;9.9;3;4.9
"Mill en Sint Hubert";39;356.5;9;82.3;5;45.7
"Moerdijk";82;220.8;14;37.7;8;21.5
"Molenlanden";122;277.7;18;41;8;18.2
"Montferland";98;272.2;20;55.5;9;25
"Montfoort";45;323.3;13;93.4;5;35.9
"Mook en Middelaar";39;497;6;76.5;5;63.7
"Neder-Betuwe";138;566.9;36;147.9;20;82.2
"Nederweert";53;311.4;31;182.1;7;41.1
"Nieuwegein";153;241.1;44;69.3;14;22.1
"Nieuwkoop";49;170.1;9;31.2;4;13.9
"Nijkerk";60;139;22;51;3;6.9
"Nijmegen";640;360.2;128;72;69;38.8
"Nissewaard";182;213.5;55;64.5;17;19.9
"Noardeast-Fryslân";28;61.9;6;13.3;4;8.8
"Noord-Beveland";10;135.2;1;13.5;0;0
"Noordenveld";21;67.2;4;12.8;1;3.2
"Noordoostpolder";81;171.4;14;29.6;10;21.2
"Noordwijk";49;112.6;18;41.4;3;6.9
"Nuenen, Gerwen en Nederwetten";54;231;18;77;9;38.5
"Nunspeet";222;797.3;56;201.1;21;75.4
"Oegstgeest";42;169.1;8;32.2;3;12.1
"Oirschot";64;341.8;13;69.4;9;48.1
"Oisterwijk";72;274.4;23;87.6;11;41.9
"Oldambt";13;34;7;18.3;2;5.2
"Oldebroek";170;719;40;169.2;19;80.4
"Oldenzaal";50;157.1;14;44;7;22
"Olst-Wijhe";51;279.4;12;65.7;8;43.8
"Ommen";52;288.8;9;50;2;11.1
"Oost Gelre";67;226.2;17;57.4;6;20.3
"Oosterhout";130;232.2;48;85.7;17;30.4
"Ooststellingwerf";7;27.5;3;11.8;0;0
"Oostzaan";26;267.1;11;113;2;20.5
"Opmeer";8;67.6;1;8.4;1;8.4
"Opsterland";23;77.3;7;23.5;0;0
"Oss";485;527.6;164;178.4;87;94.6
"Oude IJsselstreek";78;198;21;53.3;9;22.8
"Ouder-Amstel";37;263.7;5;35.6;0;0
"Oudewater";58;567.2;26;254.3;8;78.2
"Overbetuwe";135;281.8;57;119;16;33.4
"Papendrecht";76;236.5;9;28;8;24.9
"Peel en Maas";275;633.3;144;331.6;64;147.4
"Pekela";5;41;4;32.8;0;0
"Pijnacker-Nootdorp";122;220.5;24;43.4;16;28.9
"Purmerend";222;273.3;66;81.2;34;41.9
"Putten";33;136.9;10;41.5;0;0
"Raalte";151;400.4;24;63.6;17;45.1
"Reimerswaal";31;136.4;4;17.6;2;8.8
"Renkum";78;248.4;14;44.6;7;22.3
"Renswoude";19;348.8;5;91.8;5;91.8
"Reusel-De Mierden";23;175.4;11;83.9;2;15.3
"Rheden";144;329.2;34;77.7;14;32
"Rhenen";48;238.5;11;54.7;6;29.8
"Ridderkerk";145;313.8;37;80.1;16;34.6
"Rijssen-Holten";201;526.5;30;78.6;22;57.6
"Rijswijk";136;249.9;36;66.1;22;40.4
"Roerdalen";49;238.2;28;136.1;8;38.9
"Roermond";135;231.7;59;101.3;23;39.5
"Roosendaal";220;284.9;28;36.3;21;27.2
"Rotterdam";2550;391.5;513;78.8;341;52.4
"Rozendaal";3;176;1;58.7;0;0
"Rucphen";68;297.3;9;39.3;9;39.3
"s-Gravenhage";1651;302.8;332;60.9;234;42.9
"Schagen";74;159.2;19;40.9;10;21.5
"Scherpenzeel";33;334;4;40.5;2;20.2
"Schiedam";243;308.6;57;72.4;23;29.2
"Schiermonnikoog";0;0;0;0;0;0
"Schouwen-Duiveland";92;271.7;11;32.5;8;23.6
"Simpelveld";47;445.4;19;180.1;5;47.4
"Sint Anthonis";67;574;20;171.4;11;94.2
"Sint-Michielsgestel";114;390.4;36;123.3;19;65.1
"Sittard-Geleen";409;442.5;115;124.4;62;67.1
"Sliedrecht";65;257.8;9;35.7;5;19.8
"Sluis";17;73.2;8;34.5;4;17.2
"Smallingerland";56;99.7;9;16;5;8.9
"Soest";91;195.2;23;49.3;12;25.7
"Someren";104;536.7;33;170.3;8;41.3
"Son en Breugel";74;427.2;31;179;14;80.8
"Stadskanaal";8;25.2;2;6.3;2;6.3
"Staphorst";59;344.1;8;46.7;4;23.3
"Stede Broec";49;225.5;19;87.4;5;23
"Steenbergen";86;351;13;53.1;13;53.1
"Steenwijkerland";87;197.1;14;31.7;5;11.3
"Stein";116;464;43;172;15;60
"Stichtse Vecht";120;184.8;34;52.4;13;20
"Súdwest-Fryslân";106;117.8;18;20;4;4.4
"Terneuzen";115;211.2;25;45.9;4;7.3
"Terschelling";2;40.9;0;0;0;0
"Texel";11;81;5;36.8;2;14.7
"Teylingen";58;155;13;34.7;2;5.3
"Tholen";167;648.3;40;155.3;16;62.1
"Tiel";146;346.3;42;99.6;18;42.7
"Tilburg";789;359;248;112.8;162;73.7
"Tubbergen";81;380.7;12;56.4;5;23.5
"Twenterand";61;180.8;12;35.6;2;5.9
"Tynaarlo";38;112.2;9;26.6;0;0
"Tytsjerksteradiel";16;49.9;4;12.5;1;3.1
"Uden";260;617.3;115;273;63;149.6
"Uitgeest";23;168.5;5;36.6;1;7.3
"Uithoorn";58;196.8;16;54.3;2;6.8
"Urk";82;389.9;22;104.6;4;19
"Utrecht";1194;333.8;261;73;114;31.9
"Utrechtse Heuvelrug";116;233.9;28;56.5;14;28.2
"Vaals";30;297.1;10;99;1;9.9
"Valkenburg aan de Geul";87;531.8;19;116.1;7;42.8
"Valkenswaard";178;570.5;19;60.9;37;118.6
"Veendam";8;29.2;2;7.3;0;0
"Veenendaal";190;285.8;48;72.2;10;15
"Veere";27;123.4;6;27.4;2;9.1
"Veldhoven";128;281.6;31;68.2;16;35.2
"Velsen";282;410.7;32;46.6;39;56.8
"Venlo";307;301.6;129;126.7;63;61.9
"Venray";117;268.3;37;84.9;17;39
"Vijfheerenlanden";274;482.3;35;61.6;37;65.1
"Vlaardingen";278;378.5;43;58.5;29;39.5
"Vlieland";0;0;0;0;0;0
"Vlissingen";50;112.7;9;20.3;5;11.3
"Voerendaal";47;376.9;17;136.3;7;56.1
"Voorschoten";64;250;9;35.2;11;43
"Voorst";57;232.2;18;73.3;11;44.8
"Vught";106;399.2;42;158.2;18;67.8
"Waadhoeke";102;221.4;12;26;15;32.6
"Waalre";30;171.9;7;40.1;5;28.6
"Waalwijk";180;370.2;35;72;32;65.8
"Waddinxveen";75;256;16;54.6;7;23.9
"Wageningen";52;131.1;20;50.4;9;22.7
"Wassenaar";52;198.4;9;34.3;12;45.8
"Waterland";31;177.9;16;91.8;4;23
"Weert";137;273.4;67;133.7;14;27.9
"Weesp";80;405.5;9;45.6;11;55.8
"West Betuwe";211;412.1;43;84;26;50.8
"West Maas en Waal";84;434.8;19;98.3;9;46.6
"Westerkwartier";57;89.9;14;22.1;4;6.3
"Westerveld";32;164.4;9;46.2;4;20.6
"Westervoort";37;247.1;12;80.1;5;33.4
"Westerwolde";6;23.3;5;19.4;0;0
"Westland";274;248.3;57;51.7;30;27.2
"Weststellingwerf";28;108;3;11.6;4;15.4
"Westvoorne";25;169.7;6;40.7;0;0
"Wierden";49;200.5;5;20.5;6;24.5
"Wijchen";143;347.7;43;104.6;13;31.6
"Wijdemeren";32;131.4;8;32.8;0;0
"Wijk bij Duurstede";39;163.1;9;37.6;1;4.2
"Winterswijk";45;155.9;7;24.3;3;10.4
"Woensdrecht";65;297;5;22.8;7;32
"Woerden";175;334.6;49;93.7;20;38.2
"Wormerland";47;288.4;20;122.7;6;36.8
"Woudenberg";31;232;9;67.4;2;15
"Zaanstad";437;278.9;117;74.7;48;30.6
"Zaltbommel";99;342.5;20;69.2;9;31.1
"Zandvoort";32;187;10;58.4;8;46.7
"Zeewolde";47;207.5;12;53;5;22.1
"Zeist";203;312.6;37;57;23;35.4
"Zevenaar";114;260.6;44;100.6;15;34.3
"Zoetermeer";203;162;51;40.7;13;10.4
"Zoeterwoude";13;151;3;34.8;1;11.6
"Zuidplas";140;319;24;54.7;21;47.8
"Zundert";101;462.9;24;110;10;45.8
"Zutphen";102;212.8;31;64.7;13;27.1
"Zwartewaterland";144;634.6;35;154.3;19;83.7
"Zwijndrecht";159;355.4;23;51.4;27;60.3
"Zwolle";355;275.6;53;41.1;46;35.7
